domain,target,reason,confidence
35gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
360gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
362gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
363gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
364gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
367gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
369gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
36gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
372gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
374gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
377gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
37gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
380gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
381gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
383gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
385gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
386gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
38gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
390gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
392gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
394gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
398gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
39gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
400gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
401gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
402gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
405gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
411gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
413gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
416gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
417gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
41gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
420gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
423gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
424gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
425gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
427gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
428gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
42gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
430gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
432gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
435gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
436gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
439gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
43gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
440gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
442gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
443gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
4444gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
447gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
448gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
449gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
44gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
450gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
451gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
453gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
455gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
456gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
459gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
45gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
460gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
465gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
466gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
467gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
46gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
471gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
473gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
474gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
475gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
47gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
480gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
481gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
486gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
487gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
488gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
48gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
490gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
491gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
499gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
49gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
4gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
501gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
502gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
504gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
505gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
506gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
507gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
508gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
50gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
510gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
511gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
512gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
514gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
517gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
518gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
520gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
521gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
522gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
523gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
524gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
525gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
526gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
528gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
52gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
535gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
536gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
53gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
540gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
541gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
545gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
546gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
547gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
549gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
54gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
550gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
551gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
553gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
5555gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
555gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
556gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
55gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
560gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
563gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
565gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
566gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
567gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
568gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
569gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
56gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
570gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
573gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
574gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
575gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
576gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
577gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
578gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
57gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
580gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
581gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
587gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
588gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
58gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
590gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
594gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
595gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
59gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
5gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
602gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
605gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
608gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
60gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
611gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
613gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
619gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
61gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
620gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
622gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
623gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
624gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
625gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
626gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
627gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
628gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
62gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
631gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
634gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
638gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
639gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
63gmail.co.com,Google,Typosquatting - prepending numbers to 'gmail' with suspicious TLD combination,High
63gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
640gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
641gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
644gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
645gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
646gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
648gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
649gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
64gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
651gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
652gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
654gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
655gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
656gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
657gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
65gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
663gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
665gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
6666gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
666gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
667gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
668gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
671gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
672gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
673gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
675gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
676gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
678gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
67gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
683gmail.com,Google,Typosquatting - prepending numbers to 'gmail' (Google service),High
684gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
687gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
689gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
68gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
693gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
694gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
6969gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
697gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
698gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
699gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
69gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
6gmail.co.com,Google,Typosquatting - numeric prefix added to 'gmail' with TLD abuse,High
700gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
701gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
702gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
706gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
707gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
708gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
709gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
70gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
710gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
713gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
715gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
716gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
718gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
719gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
71gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
720gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
721gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
723gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
727gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
728gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
72gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
730gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
733gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
735gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
738gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
739gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
73gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
743gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
745gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
747gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
74gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
755gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
756gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
758gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
75gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
760gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
76271gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
765gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
766gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
767gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
768gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
76gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
770gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
776gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
777gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
779gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
782gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
783gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
784gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
785gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
786gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
7878gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
787gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
789gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
78gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
790gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
794gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
798gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
799gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
79gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
7gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
800gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
803gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
806gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
807gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
808gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
809gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
80gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
810gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
811gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
817gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
818gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
819gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
81gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
820gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
821gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
823gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
825gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
827gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
830gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
833gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
834gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
835gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
839gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
83gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
840gmail.com,Google,Typosquatting - numeric prefix added to 'gmail',High
841gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
842gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
845gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
848gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
849gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
84gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
850gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
852gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
853gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
854gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
855gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
857gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
858gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
859gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
85gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
860gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
86gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
871gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
873gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
874gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
876gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
87gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
880gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
881gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
885gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
887gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
8888gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
888gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
890gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
891gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
892gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
893gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
894gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
899gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
89gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
901gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
902gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
903gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
905gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
906gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
908gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
909gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
90gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
911gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
913gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
916gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
91gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
920gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
922gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
925gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
928gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
930gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
935gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
936gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
937gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
939gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
93gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
942gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
943gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
944gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
945gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
94gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
950gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
951gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
957gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
958gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
959gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
95gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
963gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
96gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
970gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
971gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
973gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
974gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
975gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
977gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
97gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
980gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
985gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
986gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
987gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
988gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
989gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
98gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
991gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
